model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,bias_mean,bias_std
GP,0.04394705628596331,0.0252963656795537,0.031944551436654665,0.015199378759796005,0.9999075575665607,8.674356074658689e-05,-0.005233145016235572,0.01733373759428331
MLP,0.6073974913759228,0.34117289066690243,0.44772711396217346,0.2639042865807389,0.9807186245918273,0.018349900066368923,-0.0859384223818779,0.33993028873124165
RF,0.6572427166583207,0.4793765402502105,0.2675410139326376,0.1399828579240319,0.9745480092777721,0.029205771061923465,-0.1243896883011919,0.2097020193265067
RothC,4.235586654327949,0.7343828038999148,4.034665632247925,0.5281048002582812,0.07549058198928833,0.5168248110416914,-0.637486708164215,2.061005817631467
XGB,1.2870526420022872,1.7646890981454357,0.4846408568322659,0.6479493861680181,0.8788244962692261,0.2186923105512308,-0.3977515738457441,0.6771835912853129
