aspect,B11,B12,B2,B3,B4,B8,bsi,dem,evi,ndmi,ndvi,pet_apr,pet_aug,pet_dec,pet_feb,pet_jan,pet_jul,pet_jun,pet_mar,pet_may,pet_nov,pet_oct,pet_sep,rain_apr,rain_aug,rain_dec,rain_feb,rain_jan,rain_jul,rain_jun,rain_mar,rain_may,rain_nov,rain_oct,rain_sep,savi,slope,worldcover,clay_0_30,sand_0_30,silt_0_30,soc_0_30,bd_0_30,clay_sand_ratio,silt_clay_ratio,sand_silt_ratio,som,porosity,ndwi,gndvi,brightness_index,ndti,pool_IOM,pool_DPM,pool_RPM,pool_BIO,pool_HUM,annual_rain,annual_pet,aridity_index,cec_0_30
-1.117017,0.9162347,0.9876337,1.3471519,1.2883307,1.1388766,0.964725,0.051389746,1.7093872,0.8939772,0.52599573,0.710678,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,-0.36627823,1.4640414,-1.3367776,0.0,0.0,0.27699572,-0.31620568,1.0137513,0.51799047,-1.9174211,2.6571128,-1.9103754,0.8736551,0.98443705,0.9266665,0.971486445,0.9513400166666666,1.0566296000000002,0.71439904,1.0010875316666663,1.0211768957264336,1.0876421440959994,0.9003533657079703,1.23162394496,0.6222311201257862,0.0257795528527273,-0.1436296936644752,1.2159021141913624,-0.0375020668445361,0.033406788086284,0.0068099225191371,0.1021488377870573,0.0204297675574114,0.5516037240501099,0.08283368000000002,6.48678623,0.0127696022441609,1.3566144833333333
-1.5850368,0.48024756,0.3692566,0.34813482,0.5737414,0.24210662,0.87184787,-1.1582196,0.7060339,1.190366,1.2851584,0.92037046,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,-0.595005,1.4640414,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,1.1157563,0.11006122,-0.80553365,0.92994721,0.87709835,1.01594465,0.6268663666666666,0.94860079,1.060254200683424,1.092475614825491,0.8633328105030131,1.0807176161333332,0.6420374377358491,0.2896247567377696,0.2062179598220178,0.440337830263188,0.1306538157505903,0.0287858043955211,0.0059808056227114,0.0897120843406718,0.0179424168681343,0.4844452554396278,-0.9247106299999999,6.48678623,-0.1425529680203443,1.2425138166666665
-1.1516851,0.58405715,0.59461963,0.43671185,0.37510514,0.37132025,0.40029198,0.73864585,-0.29731932,0.534579,-0.09232155,0.668173,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-0.82373166,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.7872225,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,0.5441989,0.11006122,-0.80553365,-1.09401055,-1.1048330333333332,-1.0805815166666666,-1.0612135,-1.1022351166666666,0.9902044173130116,0.9877249507938168,1.022443023772493,-1.829532074,0.99,-0.1866869837127809,0.0324825039329524,0.3732174929678954,-0.0089613031996778,,,,,,-1.7075978899999997,5.341935730000001,-0.31965901057368196,-1.0491454666666666
-0.1636434,0.09389518,0.025737805,0.14775637,-0.0472476,-0.06745925,-0.10503187,0.72936064,-0.6735768,0.041422095,-0.2576584,0.40259483,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-1.0524584,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-0.7872225,1.0137513,0.89304596,-1.2125584,1.8832552,-1.724663,0.050217975,-0.76431465,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,17.862313667705568,0.3794619852564498,0.05823695612033,0.5697205916913299,,,,,,-2.21014061,4.46470901,-0.49502455928253203,-1.1303111833333332
0.14836977,-0.50602067,-0.5086932,-0.20965596,-0.5165695,-0.46388167,-0.64210904,0.6725623,-0.6735768,-0.5589936,-0.52657753,-0.029858135,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,1.5587724,-1.3449128,-1.6183012,0.17176704,-1.2811852,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-1.022731,-0.798329,1.0805737,-0.860127,1.1093975,-1.5389507,-0.5455363,-0.76431465,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,0.1185304838074437,0.1083471693538054,0.4909329139975435,-0.0026337769483726,,,,,,-4.53464247,2.852943437700001,-1.5894610492718912,-1.1303111833333332
0.113701634,-0.6796826,-0.631147,-0.45655674,-0.7459823,-0.75162417,-0.81321496,0.9513884,-0.6735768,-0.6713193,-0.9857309,-0.026083406,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.5099118,0.50808513,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.860127,1.1093975,-1.5389507,-0.66033304,-0.76431465,-0.80553365,-1.1603542166666665,-1.1698242833333334,-1.1520036500000002,-1.1210040833333332,-1.1651784166666668,0.991904710133318,0.992803433170041,1.0154692507557015,-1.9326110396666665,0.99,0.0894450922674158,0.0431200475557531,0.7488085485761627,0.0370266280224371,,,,,,-4.76790867,1.9505078776999998,-2.444444713354464,-1.1303111833333332
-0.47565657,-0.61705136,-0.43834636,-0.20418027,-0.6845741,-0.6492944,-0.9563496,2.3542728,-0.6735768,-0.9370277,-2.2736876,-0.2599214,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.4556291,-0.5076956,0.33553985,-1.5389507,-0.92627335,-0.76431465,-0.80553365,-0.8979237383333333,-0.89595225,-0.8758760833333333,-0.8623084433333333,-0.8976692700000001,1.0022004390672976,0.9754459604320926,1.0229212408566546,-1.4866197563066668,0.99,0.215646391877122,0.1656234838950769,0.6671674888145293,0.1693247925530861,,,,,,-5.5491861,1.5310153777000002,-3.624513627248069,-0.8425126166666667
0.3737126,-0.17629898,-0.09360196,-0.100798406,-0.35048336,-0.32910535,-0.36369693,1.4100024,-0.6735768,-0.27608433,-1.2617126,0.1027688,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.7034963,-1.4937477,-0.798329,1.6431569,-0.5076956,0.33553985,-1.5389507,-0.27719823,0.11006122,-0.80553365,0.79505,0.8782690983333334,0.9182817366666668,0.838575635,0.8752008366666666,0.905246468888344,1.154998725447037,0.956426620790066,1.44570439474,0.6697355333333334,0.3470358692161205,0.0185017287441521,0.3399624369217223,0.3063976731611235,0.0400968901806145,0.0079847874481938,0.1197718117229078,0.0239543623445815,0.6467677833037022,-6.0922895,1.5310153777000002,-3.979247752006429,1.0600793833333333
0.44304886,0.8154809,0.745585,0.6125578,0.690759,0.6767806,0.85519034,-0.19047704,0.32977644,0.8933144,0.6248299,0.82033974,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,-1.9673653,-0.12921901,-0.4795615,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.8306847,-0.15526426,-0.43831784,-1.3532382,0.8938646,0.98443705,-1.6716337,0.91196854,1.0032678066666665,1.0288652333333332,0.84176569,1.0010875316666663,0.9089981099164278,1.1281806204996208,0.9751207195681636,1.45120404956,0.6222311201257862,0.0237685542488898,0.1063626962058149,0.6838055193610827,0.0447744710841482,0.0402706722754062,0.0080149501772459,0.120224252658689,0.0240448505317378,0.6492109643569209,-6.92336291,-0.49108936229999967,14.097969619163964,1.0985892833333333
0.65105766,1.7823849,1.8891034,2.5070906,2.2914407,2.3513656,1.3112242,1.3927215,0.8314531,0.6195729,-0.33802143,0.51577014,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,-2.196092,-0.12921901,-0.4795615,0.0,0.0,-2.1986194,-1.7292562,-0.798329,2.0182123,0.19716711,-0.43831784,-1.3532382,0.6524062,0.11006122,0.9266665,0.92152107,1.010000875,1.0103118166666667,0.7834143499999999,1.0089246666666665,0.9123963085675544,1.0963523782116742,0.999692231980724,1.3506063394,0.619273710691824,-0.1523013040012068,-0.2720809531855155,2.3215965052609646,-0.0290668228467458,0.037106707769271,0.0074630764223072,0.1119461463346093,0.0223892292669218,0.6045091902068904,-7.10725374,-0.3148028399999998,22.576841238154028,1.03294795
