soc_15-30,soc_0-5,soc_5-15,som,clay_5-15,clay_15-30,bd_0-5,bd_0_30,cec_5-15,bd_15-30,clay_0_30,sand_0_30,bd_5-15,cec_0-5,pool_RPM,porosity,pool_IOM,pool_HUM,sand_0-5,pool_BIO,clay_0-5,sand_5-15,pool_DPM,silt_0_30,silt_15-30,soc_0_30,x,y
0.7344438,0.80344284,0.63981,1.23162394496,0.97770995,0.968046,1.004662,1.0010875316666663,1.390718,0.99767333,0.971486445,0.9513400166666666,1.0044216,1.2864952,0.1021488377870573,0.6222311201257862,0.033406788086284,0.5516037240501099,0.9515618,0.0204297675574114,0.96936077,0.94672096,0.0068099225191371,1.0566296000000002,1.0564005,0.71439904,768941.6094531971,1457717.967011131
0.6452123,0.6844619,0.5705497,1.0807176161333332,0.96958315,0.8962738,0.95751184,0.94860079,1.2606585,0.9506505,0.92994721,0.87709835,0.9410707,1.1747551,0.0897120843406718,0.6420374377358491,0.0287858043955211,0.4844452554396278,0.8726547,0.0179424168681343,0.95169556,0.86063355,0.0059808056227114,1.01594465,1.0260133,0.6268663666666666,769191.7557263334,1457717.967011131
-1.0278782,-1.1002524,-1.091697,-1.829532074,-1.09461,-1.0954039,-1.1013803,-1.1022351166666666,-1.0449402,-1.10268,-1.09401055,-1.1048330333333332,-1.1019952,-1.0488718,,0.99,,,-1.1041776,,-1.0886316,-1.1064643,,-1.0805815166666666,-1.0808378,-1.0612135,769441.9019994696,1457717.967011131
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,769692.0482726059,1457717.967011131
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,769942.1945457421,1457717.967011131
-1.0948018,-1.1543347,-1.1436422,-1.9326110396666665,-1.159624,-1.161195,-1.1642473,-1.1651784166666668,-1.1277053,-1.165377,-1.1603542166666665,-1.1698242833333334,-1.1653461,-1.1270899,,0.99,,,-1.1706257,,-1.1592923,-1.1710299,,-1.1520036500000002,-1.1517415,-1.1210040833333332,770192.3408188784,1457717.967011131
-0.871723,-0.8947398,-0.83197093,-1.4866197563066668,-0.89956814,-0.89803046,-0.8970628,-0.8976692700000001,-0.8439393,-0.89891434,-0.8979237383333333,-0.89595225,-0.8961049,-0.8365657,,0.99,,,-0.9006801,,-0.89431477,-0.8955501,,-0.8758760833333333,-0.878256,-0.8623084433333333,770442.4870920145,1457717.967011131
0.66752017,0.8142593,1.107317,1.44570439474,0.7745413,0.8065586,0.8789282,0.8752008366666666,1.047834,0.8722791,0.79505,0.8782690983333334,0.87771976,1.0965371,0.1197718117229078,0.6697355333333334,0.0400968901806145,0.6467677833037022,0.86019564,0.0239543623445815,0.8015416,0.87785107,0.0079847874481938,0.9182817366666668,0.9145933,0.838575635,770692.6333651508,1457717.967011131
0.7121359,0.80344284,1.0553718,1.45120404956,0.88831574,0.9321599,1.004662,1.0010875316666663,1.0833048,0.99767333,0.91196854,1.0032678066666665,1.0044216,1.152407,0.120224252658689,0.6222311201257862,0.0402706722754062,0.6492109643569209,0.99309194,0.0240448505317378,0.89870006,1.0069822,0.0080149501772459,1.0288652333333332,1.0158842,0.84176569,770942.779638287,1457717.967011131
0.6452123,0.7926264,0.9861114,1.3506063394,0.91269594,0.9261789,1.004662,1.0089246666666665,1.0123633,1.0133476,0.92152107,1.010000875,1.0044216,1.0741891,0.1119461463346093,0.619273710691824,0.037106707769271,0.6045091902068904,0.99724495,0.0223892292669218,0.92519784,1.0026778,0.0074630764223072,1.0103118166666667,1.0057551,0.7834143499999999,771192.9259114233,1457717.967011131
0.60059655,0.7818099,0.91685116,1.2692380706466666,0.9370762,0.92019784,1.004662,1.0089246666666665,0.9414218,1.0133476,0.93107358,1.0182191566666663,1.0044216,1.018319,0.1052468516526502,0.619273710691824,0.0345713006489982,0.5683329989243114,0.99309194,0.02104937033053,0.95169556,1.0069822,0.0070164567768433,0.98216042,0.98549694,0.7362169783333333,771443.0721845595,1457717.967011131
0.7344438,0.760177,0.5705497,1.1793906412,1.010217,0.9022548,1.004662,0.995808265,1.3079529,0.99767333,0.9494265283333332,0.9804625166666666,0.9885838,1.1971031,0.0978455122589393,0.6242232962264151,0.0317978849404043,0.5283657661982725,0.96817386,0.0195691024517878,0.96936077,0.95102537,0.0065230341505959,1.0457636166666666,1.0766587,0.6841013,768941.6094531971,1457458.5100826677
0.8236753,0.7709935,0.62249494,1.28926733312,0.94520295,0.9321599,0.95751184,0.9538800233333332,1.2724822,0.9506505,0.93534724,0.90902771,0.9569084,1.1971031,0.1068962272697369,0.6400452742138365,0.0351933648684205,0.5772396272565794,0.91833776,0.0213792454539473,0.92519784,0.9036773,0.0071264151513157,1.0294334833333332,1.0260133,0.74783488,769191.7557263334,1457458.5100826677
-1.0055703,-1.067803,-1.0570669,-1.7810781058,-1.0702298,-1.0714798,-1.0699469,-1.0707634500000005,-1.021293,-1.0713314,-1.0709775833333337,-1.0796117,-1.0703198,-1.0265237,,0.99,,,-1.0792595,,-1.0709665,-1.080638,,-1.0569636333333332,-1.0605797,-1.03310795,769441.9019994696,1457458.5100826677
