aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y
160.0,2833.0642,1944.3885,586.52856,821.9207,966.22437,2560.5896,138.0,139.0,137.0,0.0902782,192.0,179.0,174.0,239.0,348.0,258.0,876.0,0.30475762,-0.04766305,0.46318373,65.0,65.0,65.0,521.0,442.0,506.0,0.29454616,241.0,211.0,235.0,2.0,17.0,7.0,11.0,1.75,2.0,40.0,771443.0721845595,1457717.9670111313
171.0,2705.131,1891.5354,548.0498,789.5594,912.4902,2520.8591,138.0,138.0,136.0,0.086581886,208.0,211.0,206.0,241.0,345.0,267.0,878.0,0.28801394,-0.044930086,0.46624008,66.0,66.0,66.0,515.0,436.0,493.0,0.28262404,243.0,220.0,240.0,3.0,17.0,8.0,9.0,3.875,3.4444444,20.0,768941.6094531971,1457458.5100826675
119.0,2693.2612,1742.164,552.56024,838.1213,884.95026,2961.29,135.0,135.0,134.0,0.014139996,208.0,206.0,203.0,236.0,350.0,259.0,874.0,0.36794347,0.037229974,0.531451,65.0,65.0,65.0,502.0,416.0,481.0,0.3471109,245.0,215.0,242.0,3.0,17.0,8.0,10.0,3.75,5.111111,40.0,769191.7557263334,1457458.5100826675
103.0,2509.2087,1739.711,521.8392,745.3675,857.0368,2174.0527,0.0,0.0,0.0,0.10834854,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.24433182,-0.072900824,0.42565626,0.0,0.0,0.0,0.0,0.0,0.0,0.24253984,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.25,4.4444447,20.0,769441.9019994696,1457458.5100826675
187.0,1120.0258,803.86633,427.10846,537.9321,536.6445,935.151,0.0,0.0,0.0,0.10063544,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.07903307,-0.121204436,0.15240574,0.0,0.0,0.0,0.0,0.0,0.0,0.07813847,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.125,2.1111112,20.0,769692.0482726059,1457458.5100826675
172.0,618.8242,497.47568,362.04517,426.1856,399.38538,385.0309,0.0,0.0,0.0,0.15878019,0.0,0.0,0.0,0.0,0.0,0.0,859.0,-0.004310555,-0.2506959,-0.053120263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049348143,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.8888889,20.0,769942.1945457421,1457458.5100826675
174.0,888.4163,718.2336,391.88052,465.03137,453.83694,494.9914,0.0,0.0,0.0,0.20749933,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.008662609,-0.3053129,-0.011803712,0.0,0.0,0.0,0.0,0.0,0.0,0.008059471,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.3333334,20.0,770192.3408188784,1457458.5100826675
188.0,968.6726,813.40436,411.41925,482.34042,481.8391,492.59167,1.0,1.0,1.0,0.22074835,2.0,2.0,2.0,2.0,3.0,2.0,858.0,0.001527392,-0.3277083,-0.048735086,1.0,1.0,1.0,4.0,3.0,4.0,0.0008304206,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-0.125,1.2222222,20.0,770442.4870920145,1457458.5100826675
213.0,1190.9337,875.02686,411.69098,525.9226,549.602,927.798,7.0,7.0,7.0,0.10441324,11.0,11.0,10.0,13.0,19.0,14.0,859.0,0.06814677,-0.13996974,0.053117763,3.0,3.0,3.0,28.0,23.0,27.0,0.067318864,13.0,12.0,13.0,2.0,1.0,0.0,0.0,-1.75,2.4444444,40.0,770692.6333651508,1457458.5100826675
218.0,3000.2861,2092.3997,589.73584,817.4888,1026.3901,2345.4194,28.0,28.0,28.0,0.14685284,42.0,40.0,39.0,47.0,71.0,51.0,863.0,0.2330558,-0.112410724,0.39038324,13.0,13.0,13.0,103.0,86.0,100.0,0.23439215,52.0,45.0,51.0,3.0,3.0,1.0,2.0,-1.75,4.0,40.0,770942.779638287,1457458.5100826675
250.0,3276.2515,2236.714,601.3879,872.32684,1120.2142,2703.055,138.0,138.0,137.0,0.13537282,205.0,194.0,190.0,233.0,351.0,253.0,870.0,0.26774475,-0.09169458,0.4228593,65.0,65.0,65.0,509.0,425.0,494.0,0.26999527,257.0,223.0,254.0,4.0,18.0,8.0,11.0,0.5,3.5555556,40.0,771192.9259114233,1457458.5100826675
193.0,2482.4294,1590.3641,415.13638,640.02637,735.00867,2413.0315,137.0,137.0,136.0,0.060315337,200.0,189.0,185.0,230.0,346.0,251.0,877.0,0.32628816,-0.01275155,0.5366066,65.0,65.0,65.0,521.0,436.0,503.0,0.32383212,249.0,218.0,246.0,3.0,17.0,8.0,11.0,4.75,4.2222223,20.0,771443.0721845595,1457458.5100826675
190.0,2642.0142,1865.9932,509.93646,710.37976,878.1786,2094.3787,138.0,138.0,136.0,0.14641146,209.0,211.0,207.0,238.0,336.0,261.0,872.0,0.22888926,-0.11450337,0.41247582,66.0,66.0,66.0,517.0,442.0,498.0,0.23147032,245.0,222.0,241.0,2.0,17.0,8.0,9.0,0.25,3.3333333,40.0,768941.6094531971,1457199.0531542036
152.0,2635.3638,1803.7726,533.07117,758.53894,893.09326,2352.5674,138.0,138.0,136.0,0.098793484,215.0,214.0,212.0,239.0,347.0,258.0,871.0,0.26704037,-0.058182627,0.44929168,66.0,66.0,66.0,514.0,432.0,497.0,0.26388937,246.0,220.0,244.0,2.0,18.0,8.0,10.0,2.0,4.2222223,40.0,769191.7557263334,1457199.0531542036
132.0,2597.5178,1780.9542,502.19684,708.7953,848.4715,2218.8872,117.0,117.0,117.0,0.11217401,187.0,183.0,180.0,206.0,306.0,223.0,866.0,0.25442645,-0.07499368,0.45033816,57.0,57.0,57.0,441.0,365.0,425.0,0.2548676,211.0,186.0,209.0,3.0,15.0,7.0,9.0,1.125,4.111111,20.0,769441.9019994696,1457199.0531542036
148.0,1655.6686,1150.7961,447.28873,586.08215,638.5544,1410.9099,0.0,0.0,0.0,0.09886804,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.14540097,-0.103914246,0.23852283,0.0,0.0,0.0,0.0,0.0,0.0,0.144345,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.375,2.7777777,20.0,769692.0482726059,1457199.0531542036
165.0,508.87106,408.1038,333.2121,403.58328,361.5878,308.66846,0.0,0.0,0.0,0.15449052,0.0,0.0,0.0,0.0,0.0,0.0,858.0,-0.014952387,-0.27141067,-0.1481755,0.0,0.0,0.0,0.0,0.0,0.0,-0.01644667,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,1.5555556,20.0,769942.1945457421,1457199.0531542036
140.0,643.763,529.3905,349.12665,418.87567,389.05157,348.4287,0.0,0.0,0.0,0.19460778,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.0112655815,-0.32531413,-0.12835881,0.0,0.0,0.0,0.0,0.0,0.0,-0.0126281595,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-0.875,1.0,20.0,770192.3408188784,1457199.0531542036
243.0,749.68005,620.3042,365.76135,438.5021,419.23688,414.3822,0.0,0.0,0.0,0.19862618,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.0036672403,-0.3149061,-0.08990114,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046715057,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-2.0,2.0,20.0,770442.4870920145,1457199.0531542036
240.0,1831.5631,1309.6133,473.6699,630.87823,715.12115,1449.777,17.0,17.0,17.0,0.1201436,26.0,25.0,25.0,31.0,46.0,33.0,860.0,0.13169146,-0.1298754,0.19005351,8.0,8.0,8.0,64.0,52.0,62.0,0.13144036,31.0,27.0,31.0,2.0,2.0,1.0,1.0,-0.875,3.2222223,40.0,770692.6333651508,1457199.0531542036
222.0,3249.955,2281.5444,620.39594,851.5568,1099.4896,2413.7795,130.0,130.0,129.0,0.17275038,193.0,191.0,187.0,234.0,349.0,250.0,864.0,0.2287606,-0.14174503,0.37581575,62.0,62.0,62.0,481.0,397.0,467.0,0.23087044,236.0,205.0,235.0,3.0,17.0,8.0,10.0,-1.25,3.5555556,40.0,770942.779638287,1457199.0531542036
217.0,2942.3958,1991.3881,526.2722,763.3804,948.2648,2422.276,136.0,137.0,135.0,0.1310299,204.0,200.0,196.0,244.0,359.0,260.0,868.0,0.26237264,-0.09189897,0.44620973,65.0,65.0,65.0,509.0,423.0,493.0,0.26527685,248.0,218.0,247.0,3.0,18.0,8.0,11.0,-1.375,3.2222223,20.0,771192.9259114233,1457199.0531542036
178.0,2626.6597,1723.3202,422.27686,641.0687,785.8367,2283.1555,136.0,137.0,135.0,0.108217396,201.0,194.0,191.0,240.0,350.0,257.0,870.0,0.28888318,-0.06455981,0.49421376,65.0,65.0,65.0,507.0,424.0,490.0,0.29280886,254.0,227.0,254.0,3.0,18.0,8.0,11.0,-2.125,2.3333333,40.0,771443.0721845595,1457199.0531542036
177.0,2464.5947,1747.2201,521.5645,719.3631,875.4646,2089.2566,139.0,138.0,137.0,0.12142589,206.0,205.0,200.0,240.0,340.0,263.0,867.0,0.2299649,-0.08215278,0.4075034,66.0,66.0,66.0,512.0,435.0,493.0,0.23091874,248.0,225.0,244.0,2.0,18.0,8.0,10.0,-2.0,2.2222223,40.0,768941.6094531971,1456939.5962257397
174.0,2597.4304,1795.1353,521.98444,730.54205,890.21423,2208.5908,138.0,138.0,136.0,0.117256366,218.0,212.0,210.0,238.0,346.0,257.0,867.0,0.24286535,-0.0774733,0.4283592,66.0,66.0,66.0,512.0,430.0,495.0,0.24421223,251.0,224.0,249.0,3.0,18.0,8.0,10.0,0.25,2.6666667,40.0,769191.7557263334,1456939.5962257397
158.0,2793.588,1901.6224,536.35406,740.51324,925.81964,2226.5369,135.0,135.0,133.0,0.14177905,210.0,205.0,203.0,242.0,350.0,262.0,863.0,0.23590872,-0.107876316,0.41026083,65.0,65.0,65.0,503.0,421.0,485.0,0.2380913,237.0,210.0,234.0,3.0,17.0,8.0,11.0,-0.375,3.4444444,40.0,769441.9019994696,1456939.5962257397
167.0,1362.0309,952.5681,440.8512,567.35205,609.4686,1114.307,0.0,0.0,0.0,0.07478126,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.09038306,-0.078850925,0.080805145,0.0,0.0,0.0,0.0,0.0,0.0,0.09002818,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.625,2.7777777,40.0,769692.0482726059,1456939.5962257397
146.0,333.9729,273.3498,312.77567,382.60736,320.21448,200.52168,0.0,0.0,0.0,0.114793226,0.0,0.0,0.0,0.0,0.0,0.0,856.0,-0.03120177,-0.24415852,-0.2692929,0.0,0.0,0.0,0.0,0.0,0.0,-0.033336844,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,1.5555556,20.0,769942.1945457421,1456939.5962257397
135.0,403.51254,336.1014,307.21588,372.50912,318.09753,209.48973,0.0,0.0,0.0,0.16245429,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.027881032,-0.32651752,-0.24142672,0.0,0.0,0.0,0.0,0.0,0.0,-0.02982289,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-1.125,1.0,20.0,770192.3408188784,1456939.5962257397
280.0,778.0041,594.2488,348.58435,428.07166,406.00864,528.8383,0.0,0.0,0.0,0.16490075,0.0,0.0,0.0,0.0,0.0,0.0,856.0,0.021358557,-0.26880074,-0.047823478,0.0,0.0,0.0,0.0,0.0,0.0,0.019986534,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-2.375,2.5555556,20.0,770442.4870920145,1456939.5962257397
266.0,2510.856,1691.3477,497.42935,684.6623,815.1286,2089.5547,17.0,17.0,17.0,0.12043494,26.0,25.0,25.0,31.0,46.0,33.0,863.0,0.23284824,-0.1023451,0.39548194,8.0,8.0,8.0,63.0,52.0,61.0,0.23234524,31.0,27.0,31.0,2.0,2.0,1.0,1.0,0.75,4.4444447,20.0,770692.6333651508,1456939.5962257397
229.0,3232.656,2180.637,585.1566,822.1407,1042.7081,2544.778,136.0,137.0,135.0,0.150806,207.0,203.0,200.0,246.0,370.0,263.0,868.0,0.26257452,-0.116575,0.4255428,65.0,65.0,66.0,506.0,416.0,492.0,0.26348954,248.0,214.0,246.0,2.0,17.0,8.0,11.0,0.5,4.0,40.0,770942.779638287,1456939.5962257397
213.0,2768.2263,1827.932,469.64844,698.0686,840.22974,2389.2473,136.0,137.0,135.0,0.11130886,208.0,201.0,199.0,246.0,361.0,261.0,871.0,0.28065643,-0.07059907,0.48626074,65.0,65.0,66.0,505.0,419.0,490.0,0.28307933,249.0,220.0,249.0,3.0,17.0,8.0,11.0,-0.375,3.4444444,20.0,771192.9259114233,1456939.5962257397
193.0,2645.7507,1760.8264,418.31958,655.6379,828.67804,2408.1418,136.0,137.0,135.0,0.10055918,207.0,199.0,198.0,243.0,354.0,258.0,872.0,0.29007575,-0.046776954,0.49030122,65.0,65.0,65.0,503.0,420.0,488.0,0.29773527,254.0,226.0,253.0,3.0,17.0,8.0,11.0,-1.5,3.3333333,40.0,771443.0721845595,1456939.5962257397
121.0,2764.3232,2035.2784,728.20215,1006.2092,1098.5599,2627.8108,138.0,137.0,136.0,0.06871062,186.0,183.0,177.0,243.0,345.0,266.0,869.0,0.28063324,-0.026392607,0.4167017,66.0,66.0,66.0,520.0,442.0,500.0,0.26665667,236.0,213.0,235.0,2.0,18.0,8.0,12.0,0.875,2.1111112,40.0,768941.6094531971,1456680.1392972758
139.0,2647.6953,1956.7693,574.0865,829.3494,994.3256,2416.1365,138.0,137.0,136.0,0.09950807,202.0,193.0,190.0,247.0,358.0,269.0,865.0,0.25322565,-0.04971281,0.4138994,65.0,65.0,66.0,516.0,433.0,497.0,0.251511,237.0,209.0,235.0,2.0,16.0,8.0,12.0,-1.0,2.6666667,40.0,769191.7557263334,1456680.1392972758
129.0,2670.2117,1872.7676,547.4002,750.74445,927.75757,2146.3784,137.0,136.0,135.0,0.13335328,199.0,191.0,188.0,247.0,356.0,268.0,861.0,0.21932915,-0.09949928,0.37845796,65.0,65.0,65.0,512.0,430.0,493.0,0.22108777,233.0,205.0,231.0,3.0,16.0,8.0,12.0,-1.25,3.1111112,40.0,769441.9019994696,1456680.1392972758
122.0,720.93665,515.9618,384.26358,477.3042,447.59344,603.5986,0.0,0.0,0.0,0.042691834,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.024026556,-0.08114784,-0.10749237,0.0,0.0,0.0,0.0,0.0,0.0,0.022689374,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.75,2.6666667,40.0,769692.0482726059,1456680.1392972758
102.0,208.58505,175.60043,303.32504,377.35526,296.79822,136.24615,0.0,0.0,0.0,0.06619434,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.0416977,-0.20143506,-0.38771495,0.0,0.0,0.0,0.0,0.0,0.0,-0.04442879,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.25,1.1111112,40.0,769942.1945457421,1456680.1392972758
284.0,285.52457,239.01947,292.05682,364.23755,295.3397,164.84851,0.0,0.0,0.0,0.11057289,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.033673346,-0.26427108,-0.32620907,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618407,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.8888889,20.0,770192.3408188784,1456680.1392972758
274.0,914.4992,659.8675,352.43423,444.2926,427.4079,679.59625,11.0,11.0,11.0,0.1368495,17.0,17.0,16.0,21.0,31.0,21.0,857.0,0.047281165,-0.21665144,-0.0019456653,5.0,5.0,5.0,42.0,34.0,41.0,0.04607298,21.0,18.0,21.0,3.0,3.0,1.0,2.0,-2.125,3.4444444,20.0,770442.4870920145,1456680.1392972758
252.0,2643.1282,1717.3489,477.84232,686.18115,795.3236,2271.9143,117.0,120.0,119.0,0.10990678,188.0,181.0,179.0,225.0,337.0,236.0,865.0,0.27032205,-0.08042651,0.46419817,59.0,59.0,59.0,457.0,377.0,446.0,0.2695919,232.0,200.0,232.0,3.0,32.0,18.0,20.0,1.0,4.6666665,40.0,770692.6333651508,1456680.1392972758
249.0,2811.2065,1775.9586,481.41336,718.71344,822.30853,2550.026,136.0,137.0,135.0,0.08735388,209.0,202.0,200.0,251.0,377.0,271.0,872.0,0.31255624,-0.04712039,0.5157373,65.0,65.0,65.0,503.0,412.0,488.0,0.30962262,245.0,211.0,242.0,3.0,18.0,9.0,12.0,2.125,4.3333335,40.0,770942.779638287,1456680.1392972758
219.0,2450.01,1582.3292,427.3266,658.29767,746.39966,2362.93,136.0,136.0,135.0,0.06487858,208.0,200.0,198.0,251.0,373.0,272.0,877.0,0.29755256,-0.01703827,0.5232044,65.0,65.0,65.0,502.0,411.0,483.0,0.29863828,247.0,215.0,244.0,3.0,19.0,9.0,12.0,2.5,4.4444447,10.0,771192.9259114233,1456680.1392972758
214.0,2639.9583,1749.1643,464.78787,727.71155,884.6602,2605.0806,136.0,136.0,135.0,0.06820771,207.0,198.0,197.0,250.0,364.0,271.0,880.0,0.31010848,-0.008504053,0.4923111,65.0,65.0,65.0,499.0,415.0,481.0,0.3116835,250.0,220.0,247.0,3.0,19.0,9.0,13.0,3.0,4.0,10.0,771443.0721845595,1456680.1392972758
106.0,2622.8235,1744.7596,646.9996,953.9541,937.1757,3109.0867,137.0,137.0,135.0,-0.027728574,169.0,166.0,160.0,242.0,337.0,262.0,872.0,0.3976059,0.079203755,0.5328842,65.0,65.0,65.0,527.0,453.0,508.0,0.36240414,230.0,210.0,230.0,3.0,18.0,8.0,13.0,2.875,2.5555556,10.0,768941.6094531971,1456420.682368812
128.0,2617.545,1792.3335,587.7889,898.45776,949.1396,3009.5894,138.0,138.0,136.0,0.00043634925,189.0,182.0,178.0,249.0,355.0,268.0,866.0,0.3608651,0.061404992,0.51140606,66.0,66.0,66.0,523.0,442.0,506.0,0.34039828,228.0,203.0,227.0,2.0,17.0,8.0,11.0,-0.5,3.3333333,40.0,769191.7557263334,1456420.682368812
136.0,2631.0415,1812.9818,544.84644,780.1272,913.0816,2374.9368,22.0,22.0,22.0,0.090411834,32.0,31.0,30.0,40.0,58.0,44.0,863.0,0.2633759,-0.045248535,0.4360803,11.0,11.0,11.0,84.0,70.0,80.0,0.26148212,38.0,33.0,37.0,2.0,2.0,1.0,2.0,1.125,3.2222223,40.0,769441.9019994696,1456420.682368812
123.0,955.8712,670.832,397.93518,512.69336,500.60712,818.73694,0.0,0.0,0.0,0.04929234,0.0,0.0,0.0,0.0,0.0,0.0,858.0,0.052607026,-0.07096497,-0.05249722,0.0,0.0,0.0,0.0,0.0,0.0,0.050598554,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.25,2.4444444,40.0,769692.0482726059,1456420.682368812
100.0,192.43784,158.34122,296.04007,376.90308,292.55438,130.02968,0.0,0.0,0.0,0.06141968,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.04210112,-0.18550062,-0.40370363,0.0,0.0,0.0,0.0,0.0,0.0,-0.04506778,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,0.8888889,40.0,769942.1945457421,1456420.682368812
270.0,231.35303,190.93047,280.75723,358.81818,279.1305,140.62508,7.0,7.0,7.0,0.08371439,11.0,11.0,10.0,14.0,20.0,14.0,855.0,-0.03582248,-0.22469741,-0.36725488,4.0,4.0,4.0,27.0,22.0,26.0,-0.038583945,14.0,12.0,14.0,3.0,2.0,1.0,1.0,-1.0,0.8888889,40.0,770192.3408188784,1456420.682368812
246.0,2684.9617,1762.563,456.2598,694.9694,819.6886,2405.5056,136.0,136.0,135.0,0.09790079,208.0,197.0,195.0,251.0,373.0,271.0,872.0,0.28619292,-0.05300832,0.49555203,65.0,65.0,65.0,502.0,413.0,485.0,0.28919327,247.0,214.0,244.0,2.0,19.0,8.0,12.0,1.875,4.5555553,20.0,770942.779638287,1456420.682368812
237.0,2448.7634,1594.1162,420.73837,668.6062,781.2829,2397.5452,136.0,136.0,135.0,0.06267698,206.0,196.0,193.0,250.0,370.0,273.0,878.0,0.29238006,-0.0075857528,0.51578647,64.0,65.0,65.0,502.0,414.0,483.0,0.29680625,248.0,216.0,244.0,2.0,19.0,8.0,12.0,2.5,3.7777777,10.0,771192.9259114233,1456420.682368812
217.0,2712.6826,1876.2196,497.80847,776.62164,1001.1377,2550.6123,136.0,137.0,135.0,0.09622281,208.0,198.0,196.0,257.0,374.0,281.0,883.0,0.27241594,-0.030091736,0.4385702,64.0,65.0,65.0,505.0,418.0,487.0,0.27960703,237.0,208.0,230.0,3.0,19.0,7.0,13.0,4.5,4.0,40.0,771443.0721845595,1456420.682368812
141.0,2492.717,1706.5867,608.16455,863.62024,962.9218,2595.4714,137.0,137.0,135.0,0.039558735,152.0,149.0,143.0,231.0,336.0,257.0,872.0,0.30612412,0.012393958,0.46461308,65.0,65.0,65.0,551.0,466.0,526.0,0.29292375,219.0,198.0,218.0,3.0,18.0,7.0,12.0,2.25,2.0,10.0,768941.6094531971,1456161.225440348
134.0,2500.7056,1698.3784,574.4829,823.28735,908.0539,2537.6548,137.0,138.0,136.0,0.04675418,172.0,169.0,165.0,240.0,344.0,262.0,868.0,0.29736462,0.0028276287,0.47292125,65.0,65.0,65.0,529.0,448.0,508.0,0.28736022,231.0,207.0,230.0,2.0,18.0,7.0,11.0,1.25,3.3333333,40.0,769191.7557263334,1456161.225440348
141.0,2375.7302,1579.7083,523.80615,763.6434,824.45123,2297.8748,2.0,2.0,2.0,0.05376665,2.0,2.0,2.0,3.0,4.0,3.0,862.0,0.2683133,-0.01167412,0.42677724,1.0,1.0,1.0,6.0,5.0,6.0,0.2613327,3.0,2.0,3.0,2.0,0.0,0.0,0.0,-0.25,3.5555556,20.0,769441.9019994696,1456161.225440348
153.0,605.1847,426.77066,349.32346,450.3445,395.73288,547.31067,0.0,0.0,0.0,0.0439212,0.0,0.0,0.0,0.0,0.0,0.0,858.0,0.022277752,-0.08766351,-0.12938823,0.0,0.0,0.0,0.0,0.0,0.0,0.019329261,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.125,2.5555556,40.0,769692.0482726059,1456161.225440348
117.0,166.3475,139.90947,287.3827,368.23373,282.83234,118.342155,0.0,0.0,0.0,0.047104016,0.0,0.0,0.0,0.0,0.0,0.0,855.0,-0.042613614,-0.15464297,-0.42511553,0.0,0.0,0.0,0.0,0.0,0.0,-0.04576322,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-0.875,0.7777778,40.0,769942.1945457421,1456161.225440348
259.0,209.57227,174.22707,277.5677,358.4006,278.80743,132.65617,1.0,1.0,1.0,0.07247336,2.0,1.0,1.0,2.0,3.0,2.0,855.0,-0.037728336,-0.19144745,-0.3926093,0.0,0.0,0.0,4.0,3.0,4.0,-0.04076405,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.25,1.1111112,40.0,770192.3408188784,1456161.225440348
242.0,967.7663,699.614,358.42285,469.68027,450.397,792.86554,26.0,26.0,26.0,0.117526114,41.0,39.0,38.0,50.0,76.0,53.0,857.0,0.06390404,-0.17511848,0.034794126,13.0,13.0,13.0,99.0,81.0,97.0,0.06181281,50.0,42.0,49.0,2.0,6.0,3.0,3.0,-2.25,3.3333333,20.0,770442.4870920145,1456161.225440348
