aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,ph_0-5,ph_15-30,ph_5-15,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,tpi,tri,worldcover,x,y,soc_0_30,clay_0_30,sand_0_30,silt_0_30,ph_0_30,bd_0_30,cec_0_30,twi
119.0,2693.2612,1742.164,552.56024,838.1213,884.95026,2961.29,135.0,135.0,134.0,0.014139996,208.0,206.0,203.0,236.0,350.0,259.0,874.0,0.36794347,0.037229974,0.531451,65.0,65.0,65.0,502.0,416.0,481.0,0.3471109,245.0,215.0,242.0,3.0,17.0,8.0,10.0,3.75,5.111111,40.0,769191.7557263334,1457458.5100826675,10.166667,300.66666,452.0,229.0,65.0,134.66667,205.33333,-1.7307566
103.0,2509.2087,1739.711,521.8392,745.3675,857.0368,2174.0527,0.0,0.0,0.0,0.10834854,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.24433182,-0.072900824,0.42565626,0.0,0.0,0.0,0.0,0.0,0.0,0.24253984,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.25,4.4444447,20.0,769441.9019994696,1457458.5100826675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9527354
187.0,1120.0258,803.86633,427.10846,537.9321,536.6445,935.151,0.0,0.0,0.0,0.10063544,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.07903307,-0.121204436,0.15240574,0.0,0.0,0.0,0.0,0.0,0.0,0.07813847,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.125,2.1111112,20.0,769692.0482726059,1457458.5100826675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.574356
172.0,618.8242,497.47568,362.04517,426.1856,399.38538,385.0309,0.0,0.0,0.0,0.15878019,0.0,0.0,0.0,0.0,0.0,0.0,859.0,-0.004310555,-0.2506959,-0.053120263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049348143,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.8888889,20.0,769942.1945457421,1457458.5100826675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9957323
174.0,888.4163,718.2336,391.88052,465.03137,453.83694,494.9914,0.0,0.0,0.0,0.20749933,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.008662609,-0.3053129,-0.011803712,0.0,0.0,0.0,0.0,0.0,0.0,0.008059471,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,1.3333334,20.0,770192.3408188784,1457458.5100826675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9957323
188.0,968.6726,813.40436,411.41925,482.34042,481.8391,492.59167,1.0,1.0,1.0,0.22074835,2.0,2.0,2.0,2.0,3.0,2.0,858.0,0.001527392,-0.3277083,-0.048735086,1.0,1.0,1.0,4.0,3.0,4.0,0.0008304206,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-0.125,1.2222222,20.0,770442.4870920145,1457458.5100826675,0.0,2.5,3.5,2.0,1.0,1.0,2.0,-2.9957323
213.0,1190.9337,875.02686,411.69098,525.9226,549.602,927.798,7.0,7.0,7.0,0.10441324,11.0,11.0,10.0,13.0,19.0,14.0,859.0,0.06814677,-0.13996974,0.053117763,3.0,3.0,3.0,28.0,23.0,27.0,0.067318864,13.0,12.0,13.0,2.0,1.0,0.0,0.0,-1.75,2.4444444,40.0,770692.6333651508,1457458.5100826675,0.16666667,16.333334,25.166666,12.5,3.0,7.0,10.666667,-2.9957323
218.0,3000.2861,2092.3997,589.73584,817.4888,1026.3901,2345.4194,28.0,28.0,28.0,0.14685284,42.0,40.0,39.0,47.0,71.0,51.0,863.0,0.2330558,-0.112410724,0.39038324,13.0,13.0,13.0,103.0,86.0,100.0,0.23439215,52.0,45.0,51.0,3.0,3.0,1.0,2.0,-1.75,4.0,40.0,770942.779638287,1457458.5100826675,1.6666666,60.333332,93.5,48.166668,13.0,28.0,40.0,-2.0392387
250.0,3276.2515,2236.714,601.3879,872.32684,1120.2142,2703.055,138.0,138.0,137.0,0.13537282,205.0,194.0,190.0,233.0,351.0,253.0,870.0,0.26774475,-0.09169458,0.4228593,65.0,65.0,65.0,509.0,425.0,494.0,0.26999527,257.0,223.0,254.0,4.0,18.0,8.0,11.0,0.5,3.5555556,40.0,771192.9259114233,1457458.5100826675,10.666667,298.66666,462.0,239.0,65.0,137.66667,194.5,-2.2470102
193.0,2482.4294,1590.3641,415.13638,640.02637,735.00867,2413.0315,137.0,137.0,136.0,0.060315337,200.0,189.0,185.0,230.0,346.0,251.0,877.0,0.32628816,-0.01275155,0.5366066,65.0,65.0,65.0,521.0,436.0,503.0,0.32383212,249.0,218.0,246.0,3.0,17.0,8.0,11.0,4.75,4.2222223,20.0,771443.0721845595,1457458.5100826675,10.5,295.0,472.5,232.5,65.0,136.66667,189.5,-1.7211024
