aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,pet_apr,pet_aug,pet_dec,pet_feb,pet_jan,pet_jul,pet_jun,pet_mar,pet_may,pet_nov,pet_oct,pet_sep,ph_0-5,ph_15-30,ph_5-15,rain_apr,rain_aug,rain_dec,rain_feb,rain_jan,rain_jul,rain_jun,rain_mar,rain_may,rain_nov,rain_oct,rain_sep,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,worldcover
-1.117017,0.9162347,0.9876337,1.3471519,1.2883307,1.1388766,0.964725,1.004662,0.99767333,1.0044216,0.051389746,1.2864952,1.3572519,1.390718,0.96936077,0.968046,0.97770995,1.7093872,0.8939772,0.52599573,0.710678,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,1.0137547,1.0117627,1.0007352,-0.36627823,1.4640414,-1.3367776,0.0,0.0,0.27699572,-0.31620568,1.0137513,0.51799047,-1.9174211,2.6571128,-1.9103754,0.9515618,0.95434546,0.94672096,0.8736551,1.0502877,1.0564005,1.0601442,0.98443705,0.80344284,0.7344438,0.63981,0.9266665
-1.5850368,0.48024756,0.3692566,0.34813482,0.5737414,0.24210662,0.87184787,0.95751184,0.9506505,0.9410707,-1.1582196,1.1747551,1.2530036,1.2606585,0.95169556,0.8962738,0.96958315,0.7060339,1.190366,1.2851584,0.92037046,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,0.9477406,0.9458033,0.93512076,-0.595005,1.4640414,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,0.8726547,0.8895561,0.86063355,1.1157563,1.0056968,1.0260133,1.0059656,0.11006122,0.6844619,0.6452123,0.5705497,-0.80553365
-1.1516851,0.58405715,0.59461963,0.43671185,0.37510514,0.37132025,0.40029198,-1.1013803,-1.10268,-1.1019952,0.73864585,-1.0488718,-1.0520402,-1.0449402,-1.0886316,-1.0954039,-1.09461,-0.29731932,0.534579,-0.09232155,0.668173,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-1.0986959,-1.0989399,-1.0989274,-0.82373166,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.7872225,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,-1.1041776,-1.103964,-1.1064643,0.5441989,-1.0811585,-1.0808378,-1.0799086,0.11006122,-1.1002524,-1.0278782,-1.091697,-0.80553365
-0.1636434,0.09389518,0.025737805,0.14775637,-0.0472476,-0.06745925,-0.10503187,-1.1642473,-1.165377,-1.1653461,0.72936064,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,0.041422095,-0.2576584,0.40259483,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-0.7872225,1.0137513,0.89304596,-1.2125584,1.8832552,-1.724663,-1.1706257,-1.1687534,-1.1710299,0.050217975,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.14836977,-0.50602067,-0.5086932,-0.20965596,-0.5165695,-0.46388167,-0.64210904,-1.1642473,-1.165377,-1.1653461,0.6725623,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-0.5589936,-0.52657753,-0.029858135,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,1.5587724,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.2811852,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-1.022731,-0.798329,1.0805737,-0.860127,1.1093975,-1.5389507,-1.1706257,-1.1687534,-1.1710299,-0.5455363,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.113701634,-0.6796826,-0.631147,-0.45655674,-0.7459823,-0.75162417,-0.81321496,-1.1642473,-1.165377,-1.1653461,0.9513884,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-0.6713193,-0.9857309,-0.026083406,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.5099118,0.50808513,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.860127,1.1093975,-1.5389507,-1.1706257,-1.1687534,-1.1710299,-0.66033304,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.47565657,-0.61705136,-0.43834636,-0.20418027,-0.6845741,-0.6492944,-0.9563496,-0.8970628,-0.89891434,-0.8961049,2.3542728,-0.8365657,-0.8435438,-0.8439393,-0.89431477,-0.89803046,-0.89956814,-0.6735768,-0.9370277,-2.2736876,-0.2599214,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-0.9006536,-0.9010616,-0.902084,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.4556291,-0.5076956,0.33553985,-1.5389507,-0.9006801,-0.8946444,-0.8955501,-0.92627335,-0.8760402,-0.878256,-0.87222415,-0.76431465,-0.8947398,-0.871723,-0.83197093,-0.80553365
0.3737126,-0.17629898,-0.09360196,-0.100798406,-0.35048336,-0.32910535,-0.36369693,0.8789282,0.8722791,0.87771976,1.4100024,1.0965371,1.0560904,1.047834,0.8015416,0.8065586,0.7745413,-0.6735768,-0.27608433,-1.2617126,0.1027688,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,0.8487195,0.8468641,0.83669907,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.7034963,-1.4937477,-0.798329,1.6431569,-0.5076956,0.33553985,-1.5389507,0.86019564,0.88457227,0.87785107,-0.27719823,0.916515,0.9145933,0.92469776,0.11006122,0.8142593,0.66752017,1.107317,-0.80553365
0.44304886,0.8154809,0.745585,0.6125578,0.690759,0.6767806,0.85519034,1.004662,0.99767333,1.0044216,-0.19047704,1.152407,1.0908397,1.0833048,0.89870006,0.9321599,0.88831574,0.32977644,0.8933144,0.6248299,0.82033974,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-1.9673653,-0.12921901,-0.4795615,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.8306847,-0.15526426,-0.43831784,-1.3532382,0.99309194,1.0041835,1.0069822,0.8938646,1.0413696,1.0158842,1.0420846,0.98443705,0.80344284,0.7121359,1.0553718,-1.6716337
0.65105766,1.7823849,1.8891034,2.5070906,2.2914407,2.3513656,1.3112242,1.004662,1.0133476,1.0044216,1.3927215,1.0741891,1.032924,1.0123633,0.92519784,0.9261789,0.91269594,0.8314531,0.6195729,-0.33802143,0.51577014,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-2.196092,-0.12921901,-0.4795615,0.0,0.0,-2.1986194,-1.7292562,-0.798329,2.0182123,0.19716711,-0.43831784,-1.3532382,0.99724495,1.0191349,1.0026778,0.6524062,1.014615,1.0057551,1.0149953,0.11006122,0.7926264,0.6452123,0.9861114,0.9266665
