DPM,RPM,BIO,HUM,IOM,site_id
0.0963282044363005,1.4449230665445072,0.28898461330890146,7.80258455934034,0.7005125563699514,site_0000
0.0870950056557725,1.3064250848365873,0.2612850169673175,7.054695458117572,0.6238324344227497,site_0001
0.0,0.0,0.0,0.0,0.0,site_0002
0.0,0.0,0.0,0.0,0.0,site_0003
0.0,0.0,0.0,0.0,0.0,site_0004
0.0,0.0,0.0,0.0,0.0,site_0005
0.011082618129009934,0.166239271935149,0.0332478543870298,0.8976920684498046,0.058404787099006844,site_0006
0.10708718667511397,1.6063078001267095,0.3212615600253419,8.674062120684232,0.791281332488603,site_0007
0.10247784378304843,1.5371676567457264,0.30743353134914525,8.300705346426923,0.7522156216951563,site_0008
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0009
0.09325167360241966,1.398775104036295,0.279755020807259,7.553385561795993,0.6748326397580339,site_0010
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0011
0.09479008993137762,1.4218513489706643,0.2843702697941329,7.677997284441588,0.687658006862238,site_0012
0.0,0.0,0.0,0.0,0.0,site_0013
0.0,0.0,0.0,0.0,0.0,site_0014
0.0,0.0,0.0,0.0,0.0,site_0015
0.0,0.0,0.0,0.0,0.0,site_0016
0.0,0.0,0.0,0.0,0.0,site_0017
0.0016030044746252233,0.02404506711937835,0.00480901342387567,0.1298433624446431,0.006366222537477645,site_0018
0.015789903863947904,0.23684855795921853,0.04736971159184371,1.2789822129797803,0.08767621360520991,site_0019
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0020
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0021
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0022
0.0963282044363005,1.4449230665445072,0.28898461330890146,7.80258455934034,0.7005125563699514,site_0023
0.08401480508513531,1.2602220762770295,0.25204441525540594,6.80519921189596,0.5985194914864688,site_0024
0.0,0.0,0.0,0.0,0.0,site_0025
0.0,0.0,0.0,0.0,0.0,site_0026
0.0,0.0,0.0,0.0,0.0,site_0027
0.0,0.0,0.0,0.0,0.0,site_0028
0.011082618129009934,0.166239271935149,0.0332478543870298,0.8976920684498046,0.058404787099006844,site_0029
0.09479008993137762,1.4218513489706643,0.2843702697941329,7.677997284441588,0.687658006862238,site_0030
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0031
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0032
0.0963282044363005,1.4449230665445072,0.28898461330890146,7.80258455934034,0.7005125563699514,site_0033
0.0963282044363005,1.4449230665445072,0.28898461330890146,7.80258455934034,0.7005125563699514,site_0034
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0035
0.0,0.0,0.0,0.0,0.0,site_0036
0.0,0.0,0.0,0.0,0.0,site_0037
0.0,0.0,0.0,0.0,0.0,site_0038
0.0,0.0,0.0,0.0,0.0,site_0039
0.011082618129009934,0.166239271935149,0.0332478543870298,0.8976920684498046,0.058404787099006844,site_0040
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0041
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0042
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0043
0.10247784378304843,1.5371676567457264,0.30743353134914525,8.300705346426923,0.7522156216951563,site_0044
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0045
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0046
0.0,0.0,0.0,0.0,0.0,site_0047
0.0,0.0,0.0,0.0,0.0,site_0048
0.0,0.0,0.0,0.0,0.0,site_0049
0.015789903863947904,0.23684855795921853,0.04736971159184371,1.2789822129797803,0.08767621360520991,site_0050
0.19428899898312035,2.914334984746805,0.5828669969493611,15.73740891763275,1.5711001016879642,site_0051
0.10708718667511397,1.6063078001267095,0.3212615600253419,8.674062120684232,0.791281332488603,site_0052
0.1086231066325697,1.6293465994885454,0.3258693198977091,8.798471637238146,0.8043563367430298,site_0053
0.11169416079411067,1.6754124119116598,0.33508248238233196,9.047227024322964,0.8305839205889344,site_0054
0.10555100357868166,1.5832650536802249,0.31665301073604496,8.549631289873215,0.7782326421318332,site_0055
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0056
0.014222386083873063,0.21333579125809593,0.04266715825161919,1.152013272793718,0.0777613916126938,site_0057
0.0,0.0,0.0,0.0,0.0,site_0058
0.0,0.0,0.0,0.0,0.0,site_0059
0.011082618129009934,0.166239271935149,0.0332478543870298,0.8976920684498046,0.058404787099006844,site_0060
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0061
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0062
0.10247784378304843,1.5371676567457264,0.30743353134914525,8.300705346426923,0.7522156216951563,site_0063
0.09786603964284986,1.4679905946427478,0.29359811892854953,7.927149211070839,0.7133960357150138,site_0064
0.09479008993137762,1.4218513489706643,0.2843702697941329,7.677997284441588,0.687658006862238,site_0065
0.0,0.0,0.0,0.0,0.0,site_0066
0.0,0.0,0.0,0.0,0.0,site_0067
0.0,0.0,0.0,0.0,0.0,site_0068
0.0,0.0,0.0,0.0,0.0,site_0069
0.03295878109221339,0.4943817163832008,0.09887634327664016,2.6696612684692846,0.20412189077866122,site_0070
0.11476420020128428,1.7214630030192641,0.3442926006038528,9.295900216304027,0.8569129798715726,site_0071
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0072
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0073
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0074
0.09325167360241966,1.398775104036295,0.279755020807259,7.553385561795993,0.6748326397580339,site_0075
0.09325167360241966,1.398775104036295,0.279755020807259,7.553385561795993,0.6748326397580339,site_0076
0.0,0.0,0.0,0.0,0.0,site_0077
0.0,0.0,0.0,0.0,0.0,site_0078
0.0,0.0,0.0,0.0,0.0,site_0079
0.0,0.0,0.0,0.0,0.0,site_0080
0.08093330444069956,1.2139995666104932,0.24279991332209866,6.555597659696665,0.5733365559300444,site_0081
0.09479008993137762,1.4218513489706643,0.2843702697941329,7.677997284441588,0.687658006862238,site_0082
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0083
0.10094085092597734,1.51411276388966,0.302822552777932,8.176208925004165,0.7392479074022662,site_0084
0.10094085092597734,1.51411276388966,0.302822552777932,8.176208925004165,0.7392479074022662,site_0085
0.08863463566508233,1.3295195349762348,0.26590390699524696,7.1794054888716685,0.636536433491769,site_0086
0.022047094125157735,0.330706411877366,0.0661412823754732,1.7858146241377766,0.1286238874842267,site_0087
0.0,0.0,0.0,0.0,0.0,site_0088
0.0,0.0,0.0,0.0,0.0,site_0089
0.0,0.0,0.0,0.0,0.0,site_0090
0.0,0.0,0.0,0.0,0.0,site_0091
0.017356033564666844,0.26034050347000265,0.05206810069400053,1.4058387187380144,0.0977300435333156,site_0092
0.09479008993137762,1.4218513489706643,0.2843702697941329,7.677997284441588,0.687658006862238,site_0093
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0094
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0095
0.10401456323411237,1.5602184485116855,0.3120436897023371,8.425179621963103,0.7652106765887631,site_0096
0.017356033564666844,0.26034050347000265,0.05206810069400053,1.4058387187380144,0.0977300435333156,site_0097
0.0,0.0,0.0,0.0,0.0,site_0098
0.0,0.0,0.0,0.0,0.0,site_0099
0.0,0.0,0.0,0.0,0.0,site_0100
0.0,0.0,0.0,0.0,0.0,site_0101
0.0,0.0,0.0,0.0,0.0,site_0102
0.0,0.0,0.0,0.0,0.0,site_0103
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0104
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0105
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0106
0.09940359026933954,1.4910538540400928,0.29821077080801855,8.051690811816503,0.7263079730660469,site_0107
0.0,0.0,0.0,0.0,0.0,site_0108
0.0,0.0,0.0,0.0,0.0,site_0109
0.0,0.0,0.0,0.0,0.0,site_0110
0.0,0.0,0.0,0.0,0.0,site_0111
0.0,0.0,0.0,0.0,0.0,site_0112
0.0,0.0,0.0,0.0,0.0,site_0113
0.07630851637543368,1.144627745631505,0.228925549126301,6.180989826410128,0.5358153624566335,site_0114
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0115
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0116
0.09171296048299242,1.3756944072448862,0.27513888144897725,7.428749799122387,0.6620369517007577,site_0117
0.09017395548162506,1.352609332224376,0.2705218664448752,7.304090394011631,0.6492714518374936,site_0118
0.15612085986857355,2.341812898028603,0.46836257960572064,12.645789649354459,1.2212480131426444,site_0119
0.011082618129009934,0.166239271935149,0.0332478543870298,0.8976920684498046,0.058404787099006844,site_0120
0.0,0.0,0.0,0.0,0.0,site_0121
0.0,0.0,0.0,0.0,0.0,site_0122
0.0,0.0,0.0,0.0,0.0,site_0123
0.0,0.0,0.0,0.0,0.0,site_0124
